ID,Program,Degree,Concentration,Requirements
68,,"Philosophy, B.A. (3+3 Pre-Law Program)",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be from the life sciences, and vice versa.,2,- PHILOSOPHY ELECTIVES: A minimum of 15 semester hours must be in courses numbered 3000-level and above, with at least six of the 15 at the 4000-level. Degree credit will not be allowed for more than six hours of courses numbered below 2000."
69,CLCIV,"Liberal Arts, B.A. (3+3 Pre-Law Program)",Classical Civilization,"1,- If a two-course sequence is taken in the physical sciences, then the three-hour course must be from the life sciences and vice versa.,2,- Students must complete 15 hours of concentration electives from departmental electives in Greek, Latin, Classical Studies (except,CLST 2092,), or,ARTH 1440,,,ARTH 2402,,,ARTH 4404,,,ARTH 4405,,,ARTH 4409,,,ARTH 4410,;,ENGL 4712,/,LING 4712,;,HIST 4001,,,HIST 4003,,,HIST 4004,;,PHIL 2033,/,PHIL 2053,,,PHIL 2034,,,PHIL 4922,,,PHIL 4924,;,POLI 4081,;,PHIL 4928,/,REL 4928,. At least six of the concentration electives must be at or above the 3000 level."
70,,"Liberal Arts, B.A. (3+3 Pre-Law Program)","Women’s, Gender & Sexuality Studies","1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- Courses that meet the cross-cultural course requirement must be on the approved list that can be found on the WGS website or be approved by an undergraduate advisor.,Students must complete 36 semester hours of course work including three required courses (,WGS 2500,,,WGS 2900,,,WGS 3150,), two Women’s & Gender Studies special topics courses (,WGS 4500,), an approved cross-cultural elective, and 18 additional hours of WGS-approved humanities and social sciences electives, of which nine hours must be at the 3000 level or above. Three of the required General Education Humanities hours must be completed with a WGS-approved literature course from the General Education Humanities list."
71,,"Sociology, B.A.",Area of Concentration,"1,- If two course natural sciences sequence is taken in the physical sciences, the additional three hour natural sciences course must be from the life sciences, and vice versa."
72,HTC,"Screen Arts, B.A.","History, Theory, & Criticism",
73,PROD,"Screen Arts, B.A.",Production,
74,SCRW,"Screen Arts, B.A.",Screenwriting,
75,,"Psychology, B.S.",Concentrations,"1,- For General Education Natural Sciences, both physical & life sciences must be taken: six hours in a physical/life sciences sequence and two hours lab credit associated with the sequence chosen; six hours in an area (phys/life) not previously selected.,2,- Two General Education Humanities courses must be from history and one from among the literature courses on the General Education Humanities list.,3,- Students majoring in psychology must take an extra three credit hours of natural sciences lecture and two credit hours of natural sciences laboratory beyond the minimum general education natural sciences requirements.,Basics,(required of all majors):,PSYC 2000,or,PSYC 2001,;,PSYC 2005,;,PSYC 2016,;,PSYC 2017,;,PSYC 4005,; and,PSYC 4008,.,Required Concentration Courses,:,PSYC 4043,;,PSYC 2040,,,PSYC 2080,and,PSYC 3082,Core Areas,(students must complete a course from,two,of the areas listed below):,Advanced Methods,: ​,PSYC 3020,or,PSYC 4111,Biological Basis,:,PSYC 4031,or,PSYC 4034,or,PSYC 4035,or,PSYC 4037,​​​,Learning and Cognition,:,PSYC 4030,or,PSYC 4032,or,PSYC 4033,or,PSYC 4041,Developmental Processes,:,PSYC 4070,or,PSYC 4072,or,PSYC 4176,Applied/Social:,PSYC 3050,or,PSYC 3083,or,PSYC 3140,or,PSYC 4080,Excluded Courses,:,PSYC 2060,,,PSYC 2070,,,PSYC 2076,,,PSYC 2078,,,PSYC 2999,,,PSYC 4999,. These courses will not count toward the 34 hours required in the major but are permissible electives above the 34-hour minimum. Students choosing the honors option will enroll in three to six hours of,PSYC 4999,, in addition to the 34 hours required in the major."
76,FORPSY,"Psychology, B.S.",Forensic Psychology,"1,- For General Education Natural Sciences, both physical & life sciences must be taken: six hours in a physical/life sciences sequence and two hours lab credit associated with the sequence chosen; six hours in an area (phys/life) not previously selected.,2,- Two General Education Humanities courses must be from history and one from among the literature courses on the General Education Humanities list.,3,- Students majoring in psychology must take an extra three credit hours of natural sciences lecture and two credit hours of natural sciences laboratory beyond the minimum general education natural sciences requirements.,Basics,(required of all majors):,PSYC 2000,or,PSYC 2001,;,PSYC 2005,;,PSYC 2016,;,PSYC 2017,;,PSYC 4005,; and,PSYC 4008,.,Required Concentration Courses,:,PSYC 4043,;,PSYC 2040,,,PSYC 2080,and,PSYC 3082,Core Areas,(students must complete a course from,two,of the areas listed below):,Advanced Methods,: ​,PSYC 3020,or,PSYC 4111,Biological Basis,:,PSYC 4031,or,PSYC 4034,or,PSYC 4035,or,PSYC 4037,​​​,Learning and Cognition,:,PSYC 4030,or,PSYC 4032,or,PSYC 4033,or,PSYC 4041,Developmental Processes,:,PSYC 4070,or,PSYC 4072,or,PSYC 4176,Applied/Social:,PSYC 3050,or,PSYC 3083,or,PSYC 3140,or,PSYC 4080,Excluded Courses,:,PSYC 2060,,,PSYC 2070,,,PSYC 2076,,,PSYC 2078,,,PSYC 2999,,,PSYC 4999,. These courses will not count toward the 34 hours required in the major but are permissible electives above the 34-hour minimum. Students choosing the honors option will enroll in three to six hours of,PSYC 4999,, in addition to the 34 hours required in the major."
77,COGNS,"Psychology, B.S.",Cognitive Neuroscience,"1,- For General Education Natural Sciences, both physical & life sciences must be taken: six hours in a physical/life sciences sequence and two hours lab credit associated with the sequence chosen; six hours in an area (phys/life) not previously selected.,2,- Two General Education Humanities courses must be from history and one from among the literature courses on the General Education Humanities list.,3,- Students majoring in psychology must take an extra three credit hours of natural sciences lecture and two credit hours of natural sciences laboratory,beyond,the minimum general education natural sciences requirements.,Basics,(required of all majors):,PSYC 2000,or,PSYC 2001,;,PSYC 2005,;,PSYC 2016,;,PSYC 2017,;,PSYC 4005,; and,PSYC 4008,.,Required Concentration Courses,:,PSYC 3030,;,PSYC 4041,; and two of the following:,PSYC 4031,or,PSYC 4033,or,PSYC 4034,or,PSYC 4035,or,PSYC 4037,or,PSYC 4039,Core Areas,(students must complete a course from two areas):,Advanced Methods,:,PSYC 3020,or,PSYC 4111,Learning and Cognition,:,PSYC 4030,or,PSYC 4032,Developmental Processes,:,PSYC 4070,or,PSYC 4072,or,PSYC 4176,Applied/Social,:,PSYC 3050,or,PSYC 3083,or,PSYC 3140,or,PSYC 4043,or,PSYC 4080,Excluded Electives,:,PSYC 2060,,,PSYC 2070,,,PSYC 2076,,,PSYC 2078,,,PSYC 2999,,,PSYC 4999,. These courses will not count toward the 34 hours required in the major but are permissible electives above the 34-hour minimum. Students choosing the honors option will enroll in three to six hours of,PSYC 4999,, in addition to the 34 hours required in the major."
78,,"Philosophy, B.A.",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be from the life sciences, and vice versa.,2,- PHILOSOPHY ELECTIVES: A minimum of 15 semester hours must be in courses numbered 3000-level and above, with at least six of the 15 at the 4000-level. Degree credit will not be allowed for more than six hours of courses numbered below 2000.,Students concentrating in law, ethics, and social justice are required to complete 30 hours of philosophy courses, including,PHIL 1021,;,PHIL 2010,;,PHIL 2020,(,PHIL 2050,or,PHIL 3052,);,PHIL 2033,(or,PHIL 2053,);,PHIL 2035,;,PHIL 4946,or,PHIL 4947,; an elective in ethics (,PHIL 4942,,,PHIL 4943,,,PHIL 4972,, or a special topics course in ethics); an elective in social/political philosophy (,PHIL 3062,,,PHIL 3072,,,PHIL 4098,,,PHIL 4945,,,PHIL 4949,, or a special topics course in social/political philosophy); and 6 hours of electives."
79,,"Philosophy, B.A.",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be from the life sciences, and vice versa.,2,- PHILOSOPHY ELECTIVES: A minimum of 15 semester hours must be in courses numbered 3000-level and above, with at least six of the 15 at the 4000-level. Degree credit will not be allowed for more than six hours of courses numbered below 2000.,Students concentrating in law, ethics, and social justice are required to complete 30 hours of philosophy courses, including,PHIL 1021,;,PHIL 2010,;,PHIL 2020,(,PHIL 2050,or,PHIL 3052,);,PHIL 2033,(or,PHIL 2053,);,PHIL 2035,;,PHIL 4946,or,PHIL 4947,; an elective in ethics (,PHIL 4942,,,PHIL 4943,,,PHIL 4972,, or a special topics course in ethics); an elective in social/political philosophy (,PHIL 3062,,,PHIL 3072,,,PHIL 4098,,,PHIL 4945,,,PHIL 4949,, or a special topics course in social/political philosophy); and 6 hours of electives.,1,- If two course sequence is taken in the physical sciences, the additional three hour course must be from the life sciences, and vice versa.,2 - At least 15 of the 27 hours of REL electives/major coursework must be at the 3000-level or above and at least six of the 15 hours must be at the 4000-level (including,REL 4301,). Possible electives also include,PHIL 1000 Introduction to Philosophy,,,PHIL 2000 Contemporary Moral Problems,,,PHIL 2020 Ethics,,,PHIL 2025 Bioethics,,,PHIL 2033 History of Ancient and Medieval Philosophy,."
80,AFRICA,"International Studies, B.A.",Africa,"1,- Select from ARAB or FREN:,ARAB 1101,,,ARAB 1102,,,ARAB 2101,,,ARAB 2102,,,ARAB 3101,,,ARAB 3102,.,FREN 1001,,,FREN 1002,,,FREN 2101,,,FREN 2102,,,FREN 2155,, and,FREN 3060,.,2,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Select fifteen hours from the following (must be taken in at least two different departments; at least nine hours must be at or above the 3000-level):,AAAS 2050,,,AAAS 3120,,,AAAS 3122,;,ANTH 4051,,,ANTH 4470,;,ENGL 4322,;,FREN 4070,;,HIST 4084,,,HIST 4085,,,INTL 3991,,,POLI 4064,,,POLI 4078,;,SOCL 4551,;,THTR 4220,/,ENGL 4220,."
81,ASIA,"International Studies, B.A.",Asia,"1,- Select from CHIN:,CHIN 1101,,,CHIN 1102,,,CHIN 2001,,,CHIN 2002,,,CHIN 3101,,,CHIN 3102,.,2,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Select fifteen hours from the following (must be taken in at least two different departments; at least nine hours must be at or above the 3000-level):,ARTH 2411,,,ARTH 4441,,,ARTH 4442,,,ARTH 4443,;,CHIN 2070,,,CHIN 3101,,,CHIN 3102,,,CHIN 3801,,,GEOG 4037,;,HIST 2096,,,HIST 2100,,,HIST 4078,,,HIST 4091,,,HIST 4092,,,HIST 4093,,,HIST 4094,,,HIST 4097,;,HIST 4191,/,REL 4191,;,INTL 3993,;,POLI 4067,,,POLI 4079,;,REL 2027,,,REL 4035,,,REL 4600,,,REL 4800,,,SCRN 3503,."
82,EUROPE,"International Studies, B.A.",Europe,"1,- Select from FREN, GERM, ITAL, OR SPAN:,FREN 1001,,,FREN 1002,,,FREN 2101,,,FREN 2102,,,FREN 2155,, and,FREN 3060,.,GERM 1101,,,GERM 1102,,,GERM 2101,,,GERM 2102,, and two from,GERM 2155,or,GERM 3060,or,GERM 3061,or,GERM 3082,or,GERM 3083,or,GERM 3084,or,GERM 4031,or,GERM 4043,or,GERM 4044,or,GERM 4045,.,ITAL 1001,,,ITAL 1002,,,ITAL 2101,,,ITAL 2102,,,ITAL 2155,, and,ITAL 3058,or,ITAL 3071,or,ITAL 3072,or,ITAL 4051,or,ITAL 4100,.,SPAN 1101,,,SPAN 1102,or,SPAN 1152,,,SPAN 2101,,,SPAN 2102,,,SPAN 2155,, and one from,SPAN 2156,,,SPAN 3010,,,SPAN 3043,,,SPAN 3044,,,SPAN 3070,,,SPAN 3072,,,SPAN 3073,,,SPAN 3074,,,SPAN 3980,,,SPAN 4063,,,SPAN 4064,,,SPAN 4100,,,SPAN 4145,,,SPAN 4146,,,SPAN 4147,,,SPAN 4201,,,SPAN 4400,.,2,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Select fifteen hours from the following (at least 9 hours must be at or above the 3000-level):,ARCH 2008,;,ARTH 4422,,,ARTH 4450,,,ARTH 4451,;,ENGL 3022,,,ENGL 4062,;,FREN 3071,,,FREN 3072,,,FREN 3080,,,FREN 4031,,,FREN 4040,,,FREN 4050,,,FREN 4051,;,GERM 2075,,,GERM 3082,,,GERM 3083,,,GERM 3084,,,GERM 3091,,,GERM 4043,,,GERM 4044,,,GERM 4045,,,GERM 4046,;,HIST 2022,,,HIST 4016,,,HIST 4017,,,HIST 4022,,,HIST 4023,,,HIST 4026,,,HIST 4028,,,HIST 4030,,,HIST 4032,,,HIST 4046,,,HIST 4047,,,HIST 4048,,,HIST 4049,,,HIST 4112,,,HIST 4113,,,HIST 4130,;,INTL 3994,;,ITAL 3001,,,ITAL 3072,,,ITAL 3502,;,PHIL 3001,,,PHIL 3003,,,PHIL 3090,,,PHIL 4003,,,POLI 4070,,,POLI 4072,,,POLI 4074,,,POLI 4075,,,POLI 4076,;,REL 2120,;,SCRN 3502,;,SPAN 3073,,,SPAN 4063,,,SPAN 4064,,,SPAN 4201,."
83,LTACRB,"International Studies, B.A.",Latin America and Caribbean,"1,- Select from SPAN:,SPAN 1101,,,SPAN 1102,or,SPAN 1152,,,SPAN 2101,,,SPAN 2102,,,SPAN 2155,, and one from,SPAN 2156,,,SPAN 3010,,,SPAN 3043,,,SPAN 3044,,,SPAN 3070,,,SPAN 3072,,,SPAN 3073,,,SPAN 3074,,,SPAN 3980,,,SPAN 4063,,,SPAN 4064,,,SPAN 4100,,,SPAN 4145,,,SPAN 4146,,,SPAN 4147,,,SPAN 4201,,,SPAN 4400,.,or from FREN:,FREN 1001,,,FREN 1002,,,FREN 2101,,,FREN 2102,,,FREN 2155,, and,FREN 3060,.,2,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Select fifteen hours from the following (must be taken in at least two different departments; at least nine hours must be at or above the 3000-level):,AAAS 4323,/,ENGL 4323,,,ANTH 4023,;,GEOG 4031,;,HIST 2085,,,HIST 4081,,,HIST 4083,;,INTL 3995,;,POLI 4065,;,SPAN 3043,,,SPAN 3044,,,SPAN 3074,,,SPAN 4144,,,SPAN 4145,,,SPAN 4146,,,SPAN 4147,,,SPAN 4201,;,SCRN 3504,."
84,MOENA,"International Studies, B.A.",Middle East and North Africa,"1,-Select from,ARAB 1101,,,ARAB 1102,,,ARAB 2101,,,ARAB 2102,,,ARAB 3101,,,ARAB 3102,.,HEBR 1001,,,HEBR 1002,,,HEBR 2003,,,HEBR 2004,. Students taking Hebrew should complete their 6 semester requirement with,ARAB 1101,and,ARAB 1102,.,2,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Select fifteen hours from the following (must be taken in at least two different departments; at least nine hours must be at or above the 3000-level):,ARAB 2001,,,ARAB 4915,;,ARTH 2401,,,ARTH 4449,;,REL 4096,/,HIST 4096,;,INTL 3992,,,INTL 4051,/,GEOG 4051,;,POLI 4059,,,POLI 4061,;,REL 2029,,,REL 3100,,,REL 3786,/,INTL 3786,;,REL 3092,/,INTL 3092,;,SCRN 3501,;,SOCL 4551,."
85,,"International Studies, B.A.","Environment and Development, Global Cultures, Global Diplomacy, and Global Studies","1,- Note: Students must demonstrate competency.(Competency means: equivalent of six courses for Arabic, Spanish, French, Italian, Chinese and German.) Native speakers can petition the program director for an exemption from this language requirement. The student’s proficiency in reading, writing, and speaking the language must be verified by someone knowledgeable in that language. The Associate Director will select an appropriate individual to conduct an assessment of the student’s language proficiency. These students are still required to meet the four semester college level foreign language requirement as described in the,General Catalog,.,Complete one of the following sequences:,SPAN 1101,,,SPAN 1102,or,SPAN 1152,,,SPAN 2101,,,SPAN 2102,,,SPAN 2155,, and one from,SPAN 2156,,,SPAN 3010,,,SPAN 3043,,,SPAN 3044,,,SPAN 3070,,,SPAN 3072,,,SPAN 3073,,,SPAN 3074,,,SPAN 3980,,,SPAN 4063,,,SPAN 4064,,,SPAN 4100,,,SPAN 4145,,,SPAN 4146,,,SPAN 4147,,,SPAN 4201,,,SPAN 4400,.,FREN 1001,,,FREN 1002,,,FREN 2101,,,FREN 2102,,,FREN 2155,, and,FREN 3060,.,GERM 1101,,,GERM 1102,,,GERM 2101,,,GERM 2102,,,GERM 2155,, and,GERM 3060,or,GERM 3061,or,GERM 3082,or,GERM 3083,or,GERM 3084,or,GERM 4031,or,GERM 4043,or,GERM 4044,or,GERM 4045,.,ITAL 1001,,,ITAL 1002,,,ITAL 2101,,,ITAL 2102,,,ITAL 2155,, and,ITAL 3058,or,ITAL 3071,or,ITAL 3072,or,ITAL 4051,or,ITAL 4100,.,CHIN 1101,,,CHIN 1102,,,CHIN 2001,,,CHIN 2002,,,CHIN 3101,,,CHIN 3102,.,ARAB 1101,,,ARAB 1102,,,ARAB 2101,,,ARAB 2102,,,ARAB 3101,,,ARAB 3102,.,2,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,3,- Select fifteen hours from the following (must be taken in at least two different departments; at least nine hours must be at or above the 3000-level) for the appropriate area of concentration:,Environment and Development,ANTH 4086,;,GEOG 2200,;,ECON 4520,,,ECON 4550,,,ECON 4070,,,ECON 4320,,,ECON 4325,;,EMS 1011,,,EMS 3040,;,ENVS 1126,,,ENVS 4261,;,GEOG 4014,,,GEOG 4045,,,GEOG 3070,,,GEOG 4078,,,GEOG 4080,,,GEOG 4086,;,LA 2201,,,LA 3201,;,OCS 3103,,,OCS 3200,,,OCS 4465,,,OCS 4550,,,OCS 4600,;,POLI 4062,,,POLI 4064,;,RNR 1001,,,RNR 2039,,,RNR 4023,,,RNR 4107,,,SOCL 4551,.,Global Cultures,AAAS 2000,,,AAAS 2025,,,AAAS 2410,,,AAAS 3024,,,AAAS 4124,/,REL 4124,;,ANTH 2050,,,ANTH 3060,,,ANTH 4031,/,REL 4031,,,ANTH 4050,,,ANTH 4470,;,ARTH 4466,;,CPLT 2202,/,ENGL 2202,;,ENGL 2673,,,ENGL 3080,,,ENGL 4680,;,FREN 3076,,,FREN 3090,,,FREN 4070,;,GEOG 4079,;,HIST 4049,;,INTL 4100,,,REL 2029,,,REL 3092,;,SOCL 4551,;,SPAN 4100,;,THTR 3122,,,THTR 4220,,,WGS 2900,.,Global Diplomacy,ECON 4520,,,ECON 4550,,,ECON 4560,;,HIST 2023,,,HIST 4028,,,HIST 4049,,,HIST 4064,,,HIST 4066,,,HIST 4130,,,HIST 4140,;,LHRD 4901,;,POLI 4041,,,POLI 4042,,,POLI 4043,,,POLI 4044,,,POLI 4046,,,POLI 4047,,,POLI 4048,,,POLI 4050,,,POLI 4062,,,POLI 4063,,,POLI 4064,,,POLI 4074,.,Global Studies,ANTH 4031,;,ECON 4070,,,ECON 4520,,,ECON 4550,;,ENGL 3080,;,ENVS 4010,;,FIN 3718,;,HIST 2023,,,HIST 3117,;,INTL 3002,,,INTL 3099,;,MC 4103,;,POLI 4040,,,POLI 4050,,,POLI 4041,,,POLI 4042,,,POLI 4046,,,POLI 4060,,,POLI 4062,;,REL 2029,,,REL 3300,,,REL 4032,;,REL 4031,,,SOCL 4701,;,WGS 2900,."
86,,"Interdisciplinary Studies, B.I.S.",General Requirements,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- At least 45 hours of credit at or above the 3000-level must be completed; of the 45 hours, at least 15 must be at the 4000-level.,3,- General Education/Approved Social Sciences must cover at least three different departments from list.,4,- General Education Humanities must cover at least one non-ENGL, non-General Education Arts department from list."
87,,"Interdisciplinary Studies, B.I.S.",Specific Requirements,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- At least 45 hours of credit at or above the 3000-level must be completed; of the 45 hours, at least 15 must be at the 4000-level.,3,- General Education/Approved Social Sciences must cover at least three different departments from list.,4,- General Education Humanities must cover at least one non-ENGL, non-General Education Arts department from list."
88,,"Interdisciplinary Studies, B.I.S.",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- At least 45 hours of credit at or above the 3000-level must be completed; of the 45 hours, at least 15 must be at the 4000-level.,3,- General Education/Approved Social Sciences must cover at least three different departments from list.,4,- General Education Humanities must cover at least one non-ENGL, non-General Education Arts department from list."
89,,"History, B.A.",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa."
90,,"Geography, B.S.",Area of Concentration,
91,,"Geography, B.S.",Area of Concentration,"GEOG ELECTIVES:,Mapping Sciences:,GEOG 4020,,,GEOG 4044,,,GEOG 4045,,,GEOG 4046,,,GEOG 4047,,,GEOG 4048,.,Physical Geography:,GEOG 2080,,,GEOG 3013,,,GEOG 3070,,,GEOG 4014,,,GEOG 4015,,,GEOG 4016,,,GEOG 4018,,,GEOG 4022,,,GEOG 4024,,,GEOG 4029,,,GEOG 4041,,,GEOG 4083,,,GEOG 4221,.,*DSM Courses:,GEOG 2200,,,GEOG 2210,,,GEOG 4200,; and one of the three mapping sciences classes (,GEOG 4044,,,GEOG 4045,,,GEOG 4047,)"
92,,"Geography, B.S.",Area of Concentration,"GEOG ELECTIVES:,Mapping Sciences:,GEOG 4020,,,GEOG 4044,,,GEOG 4045,,,GEOG 4046,,,GEOG 4047,,,GEOG 4048,.,Physical Geography:,GEOG 2080,,,GEOG 3013,,,GEOG 3070,,,GEOG 4014,,,GEOG 4015,,,GEOG 4016,,,GEOG 4018,,,GEOG 4022,,,GEOG 4024,,,GEOG 4029,,,GEOG 4041,,,GEOG 4083,,,GEOG 4221,.,*DSM Courses:,GEOG 2200,,,GEOG 2210,,,GEOG 4200,; and one of the three mapping sciences classes (,GEOG 4044,,,GEOG 4045,,,GEOG 4047,),GEOG ELECTIVES:,Mapping Sciences:,GEOG 4020,,,GEOG 4044,,,GEOG 4045,,,GEOG 4046,,,GEOG 4047,,,GEOG 4048,.,Physical Geography:,GEOG 2080,,,GEOG 3013,,,GEOG 3070,,,GEOG 4014,,,GEOG 4015,,,GEOG 4016,,,GEOG 4018,,,GEOG 4022,,,GEOG 4024,,,GEOG 4029,,,GEOG 4041,,,GEOG 4083,,,GEOG 4221,."
93,,"Geography, B.A.",Area of Concentration,"GEOG ELECTIVES:,1,- REGIONAL GROUP:,ANTH 4051,;,GEOG 3001,,,GEOG 4002,,,GEOG 4031,,,GEOG 4037,,,GEOG 4052,, or other approved regional course.,2,- SYSTEMATIC GROUP:,GEOG 2080,,,GEOG 3070,,,GEOG 4061,,,GEOG 4073,,,GEOG 4074,,,GEOG 4077,,,GEOG 4078,,,GEOG 4079,,,GEOG 4080,,,GEOG 4086,,,GEOG 4087,,,GEOG 4090,, or other approved systematic geography course,*DSM Courses:,GEOG 2200,,,GEOG 2210,,,GEOG 4200,; and one of the three mapping sciences classes (,GEOG 4044,,,GEOG 4045,,,GEOG 4047,)"
94,,"Geography, B.A.",Area of Concentration,"GEOG ELECTIVES:,1,- REGIONAL GROUP:,ANTH 4051,;,GEOG 3001,,,GEOG 4002,,,GEOG 4031,,,GEOG 4037,,,GEOG 4052,, or other approved regional course.,2,- SYSTEMATIC GROUP:,GEOG 2080,,,GEOG 3070,,,GEOG 4061,,,GEOG 4073,,,GEOG 4074,,,GEOG 4077,,,GEOG 4078,,,GEOG 4079,,,GEOG 4080,,,GEOG 4086,,,GEOG 4087,,,GEOG 4090,, or other approved systematic geography course,*DSM Courses:,GEOG 2200,,,GEOG 2210,,,GEOG 4200,; and one of the three mapping sciences classes (,GEOG 4044,,,GEOG 4045,,,GEOG 4047,),GEOG ELECTIVES:,1,- MAPPING SCIENCES:,GEOG 4020,,,GEOG 4044,,,GEOG 4045,,,GEOG 4046,,,GEOG 4047,,,GEOG 4048,.,2,- REGIONAL GROUP:,ANTH 4051,,,GEOG 3001,,,GEOG 4002,,,GEOG 4031,,,GEOG 4037,,,GEOG 4052,, or other approved regional course.,ENVIRONMENTAL STUDIES (ES) COURSES:,Required Core Course:,GEOG 2080,Required Fundamental Courses:,GEOG 4078,,,GEOG 4086,Electives (6 hours, at least 3 hours in GEOG):,ANTH 2050,,,ECON 4320,,,EMS 2011,,,EMS 3040,,,GEOG 3070,,,GEOG 4029,,,PHIL 2021,, or other approved course."
95,,"Geography, B.A.",Area of Concentration,"GEOG ELECTIVES:,1,- REGIONAL GROUP:,ANTH 4051,;,GEOG 3001,,,GEOG 4002,,,GEOG 4031,,,GEOG 4037,,,GEOG 4052,, or other approved regional course.,2,- SYSTEMATIC GROUP:,GEOG 2080,,,GEOG 3070,,,GEOG 4061,,,GEOG 4073,,,GEOG 4074,,,GEOG 4077,,,GEOG 4078,,,GEOG 4079,,,GEOG 4080,,,GEOG 4086,,,GEOG 4087,,,GEOG 4090,, or other approved systematic geography course,*DSM Courses:,GEOG 2200,,,GEOG 2210,,,GEOG 4200,; and one of the three mapping sciences classes (,GEOG 4044,,,GEOG 4045,,,GEOG 4047,),GEOG ELECTIVES:,1,- MAPPING SCIENCES:,GEOG 4020,,,GEOG 4044,,,GEOG 4045,,,GEOG 4046,,,GEOG 4047,,,GEOG 4048,.,2,- REGIONAL GROUP:,ANTH 4051,,,GEOG 3001,,,GEOG 4002,,,GEOG 4031,,,GEOG 4037,,,GEOG 4052,, or other approved regional course.,ENVIRONMENTAL STUDIES (ES) COURSES:,Required Core Course:,GEOG 2080,Required Fundamental Courses:,GEOG 4078,,,GEOG 4086,Electives (6 hours, at least 3 hours in GEOG):,ANTH 2050,,,ECON 4320,,,EMS 2011,,,EMS 3040,,,GEOG 3070,,,GEOG 4029,,,PHIL 2021,, or other approved course.,GEOG ELECTIVES:,1,- MAPPING SCIENCES:,GEOG 4020,,,GEOG 4044,,,GEOG 4045,,,GEOG 4046,,,GEOG 4047,,,GEOG 4048,.,2,- REGIONAL GROUP:,ANTH 4051,;,GEOG 3001,,,GEOG 4002,,,GEOG 4031,,,GEOG 4037,,,GEOG 4052,, or other approved regional course.,3 - SYSTEMATIC GROUP:,GEOG 2080,,,GEOG 3070,,,GEOG 4061,,,GEOG 4073,,,GEOG 4074,,,GEOG 4077,,,GEOG 4078,,,GEOG 4079,,,GEOG 4080,,,GEOG 4086,,,GEOG 4087,,,GEOG 4090,or other approved systematic geography course"
96,,"French, B.A.",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,Upon approval of the department, other courses relevant to Secondary Education studies may be accepted for this concentration."
97,,"Spanish, B.A.",Area of Concentration,"1,- If two course sequence is taken in the physical sciences, the additional three hour course must be taken from the life sciences, and vice versa.,2,- SPANISH ELECTIVES: Choose four from the following:,SPAN 3015,,,SPAN 3043,,,SPAN 3044,,,SPAN 3070,,,SPAN 3071,,,SPAN 3072,,,SPAN 3073,,,SPAN 3074,,,SPAN 3980,.,3,- OPTION:,SPAN 1152,may be taken in place of,SPAN 1101,and,SPAN 1102,. If selecting this option, it is recommended that,SPAN 1152,be taken in the first semester."
