ID,Program,degree,type,concentration,credit,hours,restrictions
70,Business,"Business Administration, PhD (Management Concentration)",PhD,,"The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied. The degree is a dissertation degree requiring a dissertation. Fifty-seven hours of credit at the graduate level must be earned, including a minimum of nine hours of credit for the dissertation. The curricular requirements include: Please refer to two websites for (1) additional details about the program ( https://www.lsu.edu/business/phdmanagement ) and (2) the typical coursework completed during the four year program ( https://www.lsu.edu/business/management/academics/phd/curriculum.php ).",120,
71,School,School Librarianship Graduate Certificate,Certificate,,"(CSLIB) The Graduate Certificate in School Librarianship (CSLIB) is designed for certified teachers who desire add-on certification in School Librarianship from the Louisiana State Department of Education. Other students may be admitted with the understanding that the Graduate Certificate alone is not sufficient for certification as a school librarian. Students from other states must contact their state’s department of education to verify whether the courses will be accepted for certification. Students admitted into this program must complete 18 hours selected from the following courses:   Category 1  Elementary and/or Secondary School Library Materials: 9 semester hours Students must take   LIS 7002 Information Resources     And two courses selected from: LIS 4101 Collection Development for Children       LIS 4102 Collection Development for Teens       LIS 4104 Collection Development of Non-Fiction       LIS 4105 Collection Development of Graphic Novels        LIS 7800 The Art and Practice of Library Storytelling        LIS 7808 Special Topics in Library & Information Science    when the topic relates to elementary and/or secondary school library materials (e.g., Science Fiction and Fantasy in Libraries).    Category 2  Organization, Administration, and Interpretation of Elementary and/or Secondary School Library Service: 6 semester hours Students must take   LIS 7400 School Library Management    and   LIS 7010 Organization of Information         Category 3  Elementary and/or Secondary School Library Practice: Three semester hours: Students who will be applying for add-on certification in Louisiana must take   LIS 7900 Internship in Library & Information Science    OR substitute three years or more of successful experience as a school librarian. Students who will have three years or more of successful experience as a school librarian by the time they complete the certificate may substitute an additional course from either Category 1 or Category 2 for the Internship in order to earn the required 18 hours. Students who will not be applying for add-on certification in Louisiana may substitute an additional course from either Category 1 or Category 2 for the Internship in order to earn the required 18 hours.   For further information, contact 225-578-3158 or  slis@lsu.edu .",120,
72,Records,Records and Information Management Graduate Certificate,Certificate,,"(CRIM) The Graduate Certificate in Records and Information Management is designed to provide an immersive experience for students who want to pursue a corporate or government career as a Records Manager, Information Manager, Information Governance Officer, or equivalence. Records and Information Management involves the administration and management of all business records throughout their life cycle. It is the systematic analysis and control of recorded information associated with an organization’s business activities.  Students admitted into this program will be required to complete the following three core courses: In addition, students must complete two courses from the following: 1 - Students who have had at least one year of full-time RIM work experience may choose  LIS 7618    instead of  LIS 7909   . See department for verification of work experience.  LIS 7618    can only be used to fulfill one 3 credit-hour requirement. It may not be counted twice. For further information, please contact the School of Information Sciences at 225-578-4581 or  slis@lsu.edu .",120,
73,Archival,Archival Studies Graduate Certificate,Certificate,,"(CARST) Archivists systematically identify, select, protect, organize, describe, preserve, and make available to users archival materials—that is, society’s records and documents broadly defined, regardless of form or medium. Archivists preserve and transmit our cultural and social heritage, protect the legal rights of individuals and institutions, and aid citizens in holding their governments and other organizations accountable. The Graduate Certificate in Archival Studies (GCAS) is designed to give students a solid grounding in the core knowledge of the archival profession. The curriculum meets the Society of American Archivists (SAA) Guidelines for a Graduate Program in Archival Studies (GPAS), ensuring that students will be competitive for jobs in a range of institutions possessing archival collections. Specifically, graduates will meet the following learning objectives: This is the only archival studies program in Louisiana, outside of the Masters in Library & Information Science (MLIS). This is an entirely online certificate. The certificate program is designed for individuals who already possess a graduate degree or are currently pursuing a graduate degree, and wish to pursue an archival career. Students who complete the certificate will be qualified to take the Academy of Certified Archivists (ACA) Certification Exam for full or provisional certification. Two required courses (6 hours):     Complete one of the following (3 hours): Complete two of the following electives (6 hours): Admission to the certificate program requires a previous graduate degree –OR— concurrent enrollment in a graduate degree program. Applicants must also meet the requirements for admission listed for the  Master’s of Library & Information Science Program . Students should apply through the  LSU Graduate School . For information on graduate tuition and fees, see  Office of Budget and Planning website . Fee payment deadlines are published in the Schedule Book found on the  Office of the University Registrar website .",120,
74,Liberal,"Liberal Arts, M.A.L.A.",M.A.L.A.,,"(MALA) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirement for graduate committees is satisfied. The Master of Arts in Liberal Arts offers both a thesis track and a non-thesis track. Thesis track Each student must earn at least 24 hours of graduate course credit, earn at least six hours of thesis credit ( LIBA 8000   ) for the thesis project, and defend a master’s thesis. The curricular requirements include: Non-Thesis track: Each student must earn at least 36 hours of graduate course credit and sit for an exit examination. The exit examination will include the student’s defense of a portfolio of three major essays or projects completed during his or her time in the MALA program. The student should also compose a short essay (about 5-7 pages) drawing connections among the items in the portfolio and reflecting on the larger intellectual questions encountered during his or her time in the program. The curricular requirements include:",120,
75,Leadership,"Leadership and Human Resource Development, Ph.D.",Ph.D.,,"(PLHRD) The Leadership & Human Resource Development Ph . D .  offers a research-oriented, broad-based program of study that can be modified to fit student interests. The Ph.D. degree represents a rigorous extension of graduate work beyond the master’s level. The program is strongly grounded in leadership, human resource and organization development, and change management theory. The curriculum is focused on foundational and advanced theory and evidence-based practice to ensure relevance in today’s challenging organizational environments. Because human resource, organization and leadership development are applied fields, the goal of the Ph.D. program is to develop highly skilled and innovative researchers  and  scholar-practitioners. This effectively prepares students for a wide range of careers ranging from academicians at leading educational institutions, professional consultants, human resource and organization development leaders, and other careers in which advanced research, analytical, and organization change capabilities are required. Recent alumni are employed as tenured or tenure-track faculty, organizational change agents, workforce development consultants, and human resource development/training and development directors. Students in the Leadership & Human Resource Development (LHRD) Ph.D. program are, prior to graduation, expected to: Faculty teaching in the LHRD program have wide and varied research interests including topics such as organizational leadership, multilevel analysis and social network modeling of person-environment interactions in organizations; responses to large-scale organizational change; creativity; ethics and ethical decision-making; workforce aging; change reactions to workplace disasters; training effectiveness and learning transfer in the workplace; talent development systems; program monitoring and evaluation; organizational culture and workplace learning; knowledge sharing; instructional technology; colorism and diversity in organizations; and social justice in education across institutional types. Doctoral training involves close collaboration with faculty members on shared research interests, coursework in human resource development, organization development and change, leadership and leadership development, and independent research activities. Students are encouraged to co-design their program of study in consultation with a faculty mentor in ways that are personally meaningful, and which optimize achievement of student goals. For the dissertation, students collaborate with a faculty mentor to co-design a study that is often groundbreaking and which advances knowledge and science in a particular area of interest. The Ph.D. program consists of a minimum of 90 semester hours above the bachelor’s degree. Acceptance into the program is subject to the approval of the admissions committee. Coursework is divided into a required content core, a research block, and any minors selected by the student. Final course work requirements are typically designed in line with individual student interests and are determined by the student in collaboration with his or her graduate advisory committee. The process leading to the doctoral degree includes completion of all coursework, successful completion of a general examination that contains both written and oral components, completion of the dissertation, and the final examination/dissertation defense.",120,
76,Landscape,"Landscape Architecture, M.L.A.",M.L.A.,,"(MLA) The Master of Landscape Architecture (MLA) degree is a three-year professional degree open to applicants with undergraduate qualifications in any discipline. Those with accredited degrees in architecture or landscape architecture are eligible for entrance into the program’s second year, following consultation with the graduate coordinator and review of qualifications and portfolio. Typically, this course of study requires 36 semester hours of graduate-level work. Those entering the three-year program will generally take up to 36 additional hours of preparation and background courses and 18 semester hours of elective courses. A student’s past academic and work experiences are carefully evaluated and course sequences are designed to take advantage of these previous experiences.",120,
77,,"Kinesiology, Ph.D.",Major,Sport Management,"{""Professional Core Courses"": [""KIN 7511"", ""KIN 7516"", ""KIN 7518"", ""KIN 7519"", ""KIN 7524"", ""KIN 7545""], ""Sport Management Elective Courses"": [""KIN 4501"", ""KIN 4513"", ""KIN 4518"", ""KIN 4900"", ""KIN 7505"", ""KIN 7544""], ""Dissertation"": [""KIN 9000""]}",120,
78,Sport,"Sport Management, M.S.",M.S.,,"(SSPM) The purpose of the Master of Science in Sport Management is to enable Louisiana State University to be a regional and national leader in the education and development of graduate students in the sport industry through a critical examination of both practical and academic applications of management principles. Through research, engagement, and an appreciation for interdisciplinary approaches, we will provide coursework, encourage volunteerism, promote intellectual achievement, and require high levels of competence to help prepare students for careers in the sport industry. The goals of the program are to develop students who are critical thinkers and inspirational leaders fully prepared for lives of service to their familiar, communities, and the greater global society.  Thirty-six credit hours at the graduate level must be earned. The curricular requirements include: 18 credit hours Sport Management core courses: 12 credit hours of Sport Management electives selected from the following: 6 credit hours of Restricted Research Electives: Note:",120,
79,,"Athletic Training, MSAT",Major,Core Requirements,"{""Other Information:"": [""Students will complete all 60 hours of didactic coursework with a minimum GPA of 3.00."", ""Students will complete at least 1200 hours of clinical experiences/education under the supervision/direction on an approved Preceptor.""]}",120,
80,Healthcare,Healthcare Systems Engineering Graduate Certificate,Certificate,,"(CHTSY) The HSE graduate certificate is ideal for professionals who want to pursue or advance their career. The certificate is designed for engineers, managers and healthcare professionals looking to learn fundamental skills in industrial and systems engineering and a background in healthcare delivery systems and processes. The certificate will require 12 hours of coursework in specialized graduate-level industrial engineering courses. In general, the student who wishes to enroll for graduate study must have earned a bachelor’s degree (or equivalent) from an accredited college or university. Although there are no restrictions regarding the major area of study pursued in the baccalaureate program, graduates of curricula outside the program area will be required to satisfy prerequisite requirements in the program area. This prerequisite work will not carry graduate credit but is intended to satisfy deficiencies.  Students will take the following courses: For additional information, please contact the IE Program director at  nahmens@lsu.edu .",120,
81,Healthcare,Healthcare Analytics Graduate Certificate,Certificate,,"(CHTAN) The HA graduate certificate is ideal for professionals who want to pursue or advance their career. The certificate is designed for engineers, information technology and healthcare professionals looking to learn research and analytical skills to collect, organize, and visualize data in order to change the healthcare landscape. Using data analytics in a healthcare setting can improve patient outcomes, lower costs, improve the quality of care, enhance health delivery system performance, and optimize business operations. The certificate will require 12 hours of coursework in specialized graduate-level industrial engineering courses. In general, the student who wishes to enroll for graduate study must have earned a bachelor’s degree (or equivalent) from an accredited college or university. Although there are no restrictions regarding the major area of study pursued in the baccalaureate program, graduates of curricula outside the program area will be required to satisfy prerequisite requirements in the program area. This prerequisite work will not carry graduate credit but is intended to satisfy deficiencies.  Students will take the following courses: If student has credit on  IE 4362   , the fourth course must be from the approved elective course list below:   For additional information, please contact the IE Program director at  nahmens@lsu.edu .",120,
82,Industrial,"Industrial Engineering, Ph.D.",Ph.D.,,"(PIE) The Ph.D. in Industrial Engineering (IE) will prepare students for extensive research and careers in academia, industry, and government while providing a broad knowledge of industrial engineering. The Ph.D. in Industrial Engineering deals with the development of new methods and technologies that allow for the optimization of complex business, production and manufacturing processes or systems. Industrial engineers are critical to manufacturing, commodity production, information technology, and healthcare industries. This program is intended for students with a bachelor or master’s degree in Industrial Engineering or a closely related discipline. The program allows a candidate to thoroughly study both broad knowledge of industrial engineering and in depth knowledge of specialty fields in IE through faculty expertise in research areas such as management systems, quality systems engineering, human computer interaction, manufacturing systems, systems integration, ergonomics, supply chain and logistics, and information technology.  IE Ph.D. requires a minimum of 54 credit hours beyond the bachelor’s degree and a dissertation acceptable to the advisory committee and the Graduate School. A minimum of 42 credit hours of non-research coursework, with 2 required and 4 elective (IE 7000 level) IE courses, and 8 other elective courses. These other elective courses may be additional IE courses and/or courses from other university programs to satisfy the needs of research goals or career objectives. In addition to the non­research coursework, at least 12 credit hours of dissertation research (IE9000) and approved dissertation must be completed. All courses are determined in consultation with the faculty adviser and approved by the dissertation research committee. Two exams are required: 1) a general exam to be taken after the majority of the coursework is complete; and 2) a dissertation defense to present novel and significant findings to the public and to defend the dissertation to the committee.  PhD in Industrial Engineering (IE) courses include:    Required Courses  (6 credit hours)  IE Elective Courses  (12 credit hours) Other Elective Courses   (24 credit hours) Dissertation Research  (12 credit hours) Statistics courses IE 7000 courses",120,
83,Industrial,"Industrial Engineering, M.S.I.E.",M.S.I.E.,,"(MIE) The IE program in the Department of Mechanical & Industrial Engineering offers a Master of Science degree in Industrial Engineering (MSIE). Participants can also earn an interdepartmental MSIE  with a concentration in Information Technology Engineering (ITE). The master’s program in Industrial Engineering is offered with both thesis and non-thesis (project) options. For the thesis option, students must complete at least 24 hours of coursework and six hours of thesis research ( IE 8000   ). For the project option, students must complete at least 33 hours of coursework and a three credit hour master’s project in independent study format ( IE 7724   ). For some students, additional courses may be required as prerequisites or to demonstrate English proficiency. Credit hours counting toward program requirements must be in courses allowed for graduate credit as described in the LSU General Catalog. Both thesis and non-thesis degree programs in Industrial Engineering are available with the ability for a student to focus on: Ergonomics and Human Factors, Healthcare, Supply Chain Systems, and Information Technology Engineering. The program-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied.",120,
84,"History,","History, Ph.D.",Ph.D.,,"(PHIST) The basic requirements for the Doctorate are specified in the LSU Catalog. It is the responsibility of each graduate student to be familiar with these stipulations and fulfill them. A minimum of 54 semester hours of coursework and dissertation research are necessary to complete the program, but the plan of coursework depends on the student’s earlier preparation in history. The major requirement is a dissertation “which embodies creative scholarship” and which “must add to the sum of existing knowledge and give evidence of considerable literary skill.” Each student must offer two fields of study: one major field and one minor field. Coursework and Examinations: Coursework: Students entering the program with a MA from another university will take the basic seminars in their major field. In Ancient/Medieval/Early Modern European History, they are  HIST 7908   ,  HIST 7909   , and at least three seminars numbered between  HIST 7917    and  HIST 7930   . In Modern European and British History, they are  HIST 7908   ,  HIST 7909   , and at least four seminars numbered between  HIST 7917    and  HIST 7930   . In United States history, they are:  HIST 7904   ,  HIST 7908   ,  HIST 7951   ,  HIST 7952   ,  HIST 7956   ,  HIST 7957   , plus two Special Topics seminars ( HIST 7958    and/or  HIST 7959   ). Students will also have to take courses in their minor fields and may want to take other courses in their major fields. Students who have completed a MA in our department will have already completed these basic seminars. Major Fields: Those fields offered by the Department are: US History (inclusive), Latin American History, Europe to the Middle Ages, Medieval and Early Modern Europe, European History since 1500, and British History. A major field committee requires at least three members of the graduate faculty, two of whom must be from the Department of History. Minor Fields: Each student must complete one minor field that falls outside the scope of the major field. Approval of the selection and scope of the field will be made by the student’s major professor and minor field professors. Typically, a minor field will require nine hours of coursework. Minor fields may be selected from the list of offered major fields, from Asian History, or an approved aspect or period thereof. Minor fields cannot fall within the same major field. For students concentrating in US history, the minor fields must fall outside the geographic parameters of the US.  Requirements for fulfilling the minor field will be determined by the student’s minor field professor. Students may elect to take a minor field outside of the department, but only with the permission of their major professors. Requirements for an outside field will be determined by the outside department.  World History Minor The department also offers a minor field in World History, the requirements for which are as follows: The minor requires both a set amount of coursework and an examination. COURSES: HIST 7970   , Reading Seminar in Comparative History, when offered in the field of World History and approved by the minor’s coordinator. Students must take two 4000- or 7000 level courses—for a total of 6 hours—in two of the following areas, outside their major field: Africa, East Asia, Latin America, and South Asia. A thematic course that cuts across regions or courses in European or US history with a decisive transnational or global theme may be substituted for one of these, if approved by the coordinator of the minor. EXAM: Students in the world history minor need to take a general examination. Recognizing the double goal of this minor, the examination might consist of preparing a syllabus for teaching a world history survey or writing two essays on topics determined by the examination committee and reflecting the research interests of the student in question. The exam will be submitted to a 3-person committee from the World History faculty, who will also conduct an oral exam based on the written assignment. Single Minor Double Minor Doctoral Degree Audit: Before taking general exams for the PhD, each student will prepare, in consultation with his or her committee, a Request for Permission to take the General Exam and Doctoral Degree Audit form (available from the Graduate School website) which specifies requirements for course work and other aspects of the student’s course of study.  When these requirements are completed, the student takes the general examinations.  General Examinations:  General examinations will be offered once each semester, in November and April.  Minor field exams may consist of a four-hour written exam; in certain cases, a minor field may consist only of course work and a written exam will not be given.  Once the minor field exam (or course work) has been completed, the student must take the major field exams the following semester. The major field exam will consist of two six-hour written exams and an oral examination with the student’s committee (which must include at least three members of the graduate faculty) and a representative from the Graduate School. Once the major field examination has been successfully completed, the student becomes a PhD Candidate. By the end of the semester in which the student passes the general exam the student must produce for his or her adviser and the DGS a one-page dissertation prospectus and preliminary curriculum vitae. Final Examinations: After completing the dissertation, the candidate defends it in an oral examination. The examining committee consists of the student’s major professor, and at least two other graduate faculty from the Department of History or other departments in the University, and a representative from the Graduate School, in accordance with the guidelines outlined in  The Graduate School    section. Foreign Language Requirement: It is required that all PhD students in American and British history must demonstrate reading proficiency in one foreign language, and PhD students in all other concentrations must demonstrate reading proficiency in two foreign languages (for medieval history one of those languages should be Latin). Each student must fulfill the foreign language requirement before advancing to the general examinations; the requirement is deemed complete by faculty in the Department of History. Reading proficiency may be demonstrated through a sight translation conducted by a member of the faculty or by successfully completing a reading knowledge course offered by the Departments of Foreign Languages or French Studies. The requirements for language skills differ by field; students should consult with their major professor for requirements in their areas.",120,
85,Applied,Applied Depositional Geosystems Graduate Certificate,Certificate,,"(CADGS) The Graduate Certificate in Applied Depositional Geosystems (ADG) trains both traditional (those with BS degrees in geosciences) and non‐traditional students (those with bachelor’s degrees in other science and engineering fields) for career opportunities in the energy industry, in government agencies, and in academia. Providing students with training in this field enhances their skills in geology, mathematics, and the physical sciences, forming a basis for work in petroleum and water exploration, as well as environmental geology and engineering. The Graduate Certificate in Applied Depositional Geosystems will be awarded to students successfully completing five courses (15 hours) from the options listed on the  departmental website . No substitution of courses or transfer credit is permitted. For further information, please contact the Department of Geology & Geophysics, 225-578-3353 or  geology@lsu.edu . *** Admission to the LSU Graduate School and to the Department of Geology & Geophysics is required. For specific information on graduate school admission, please see  The Pinkie Gordon Lane Graduate School    section of the catalog.***",120,
86,"Geology,","Geology, Ph.D.",Ph.D.,,"(PGEOL) The departmental-level academic course plan for each student is developed in consultation with, and approved by, the student’s graduate advisory committee. The committee will include the student’s major advisor and at least three additional members of the graduate faculty in the department or allied areas so that requirements of the LSU Graduate School for graduate committees are satisfied. Major advisor must be selected by end of first semester in degree program. Dissertation committee must be selected by end of second semester in degree program. The degree requires a dissertation project. Sixty hours of credit at the graduate level must be earned including a minimum of nine hours of credit for the thesis research project. Course Requirements: Successful completion of at least 60 semester hours in courses numbered 4000 or above; Up to 24 hours of M.S. or graduate transfer credit in graded course work can be counted towards the Ph.D. requirements.   Other PhD requirements include:",120,
87,"Geology,","Geology, M.S.",M.S.,,"(SGEOL) The departmental-level academic course plan for each student is developed in consultation with, and approved by, the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty (from the department or allied disciplines) such that the LSU Graduate School’s requirements for graduate committees are satisfied. A major advisor must be selected by the end of first semester in the degree program. Thesis committee must be selected by end of second semester in the degree program. The degree is a thesis degree requiring a research project. Thirty hours of credit at the graduate level must be earned including a maximum of six hours of credit for thesis research. The curricular requirements include:",120,
88,"Anthropology,","Anthropology, Ph.D.",Ph.D.,,"(PANTH) In addition to specific courses listed below, students must select a cognate (a suite of courses outside the department or in the department).  The Doctor of Philosophy (Ph.D.) is the highest degree offered at LSU. It recognizes and demands mastery of one or more subfields of the discipline. Doctoral students go far beyond the level required for lesser degrees, and their work is expected to be of such quality that it could grace the pages of scholarly books and journals. Although doctoral students are expected to exhibit the intellectual breadth required of an academic position, the Ph.D. is primarily a research degree, and doctoral students should expect to spend little time sitting in undergraduate lecture courses, save those needed to remedy deficiencies.The Graduate School allows doctoral students to write their dissertation in a book-manuscript style or as several journal-manuscript style papers. Both styles are popular among students in Anthropology. Students should consult the Graduate School web page for specific requirements. The PhD curriculum involves a total of 31 hours beyond the master’s degree (1/2 at 7000-level+) including: ANTH 7901 Introduction to Graduate Study (1)     9 hours of 7000-level courses (exclusive of 7901) 9 hours in approved cognate fields (including one 7000-level course) 3 additional hours of 4000 or 7000-level coursework 9 hours of dissertation research ( ANTH 9000   ) Cognate Field Departmental policy requires nine hours in approved cognate courses for the completion of the doctoral degree. The cognate courses must be listed on the student’s program of study. The cognate field requirement is composed of a suite of courses, of which at least three credit hours should be in an upper-level seminar (usually 7000-level). The courses need not be within a single discipline. The development of the cognate field may be quite flexible, and the specific suite of courses is developed by the student in consultation with the major professor and advisory committee. The cognate field may include traditional disciplines and emerging interdisciplinary fields, including, for example Biology, Communication Studies, Geology, Geography, History, and Women’s and Gender Studies.",120,
89,Geographic,Geographic Information Science Graduate Certificate,Certificate,,"(CGIS) The Graduate Certificate in Geographic Information Science at LSU is a 12 credit hour stand-alone certificate with courses offered in the Department of Geography and Anthropology, College of Art and Design, Department of Economics, College of the Coast and Environment, Department of Civil and Environmental Engineering, and Department of Computer Science.  Students must complete at least one method, theory, and applied topics course, for a combined total of 12 credit hours (though some courses may be listed under more than one category, they may only be used to fill one requirement). Elective courses allow students to choose a focus within the certificate.  For example, a returning professional with an interest in sustainability studies could take Environmental Economics and Policy and Design of Environmental Management Systems as electives.  Each department will offer at least one elective course per semester.  Who should consider applying? Graduate students who already have or are pursuing a graduate degree in another discipline but have a need to develop specific geospatial skills to apply to their primary discipline See the  departmental website  for a course breakdown. For further information, please contact the Department of Geography & Anthropology, 225-578-5942.",120,
90,"Geography,","Geography, Ph.D.",Ph.D.,,"(PGPHY)   In addition to specific courses listed below, students must select a cognate (a suite of courses outside the department or in the department).  The Doctor of Philosophy (Ph.D.) is the highest degree offered at LSU. It recognizes and demands mastery of one or more subfields of the discipline. Doctoral students go far beyond the level required for lesser degrees, and their work is expected to be of such quality that it could grace the pages of scholarly books and journals. Although doctoral students are expected to exhibit the intellectual breadth required of an academic position, the Ph.D. is primarily a research degree, and doctoral students should expect to spend little time sitting in undergraduate lecture courses, save those needed to remedy deficiencies.The Graduate School allows doctoral students to write their dissertation in a book-manuscript style or as several journal-manuscript style papers. Both styles are popular among students in Geography. Students should consult the Graduate School web page for specific requirements. The PhD curriculum involves a total of 31 hours beyond the master’s degree (1/2 at 7000-level+) including: GEOG 7901 Introduction to Graduate Study (1)     GEOG 7902 Introduction to Research Methods in Geography (3)     9 hours of 7000-level courses (exclusive of 7901 and 7902) 9 hours in approved cognate fields (including one 7000-level course) 9 hours of dissertation research ( GEOG 9000   ) Departmental policy requires nine hours in approved cognate courses for the completion of the doctoral degree. The cognate courses must be listed on the student’s program of study. The cognate field requirement is composed of a suite of courses, of which at least three credit hours should be in an upper-level seminar (usually 7000-level). The courses need not be within a single discipline. The development of the cognate field may be quite flexible, and the specific suite of courses is developed by the student in consultation with the major professor and advisory committee. The cognate field may include traditional disciplines and emerging interdisciplinary fields, including, for example Anthropology, Biology, Environmental Science, Geology, History, Oceanography, Political Science, and Sociology.",120,
91,"Geography,","Geography, M.S.",M.S.,,"(SGEOG) Geography offers programs leading to the B.A., B.S., M.S., and Ph.D. degrees in several major divisions of the field—biogeography, climatology, geomorphology, Quaternary studies, cultural geography, historical geography, economic development, urban geography, mapping sciences, and GIS. Area expertise focuses upon the Mississippi Valley, southern U.S., Latin America, China, central Asia and Afghanistan, the Middle East, and North Africa. In each division, there are numerous programs of research directed by outstanding scholars in the discipline. A Master of Science (M.S.) degree is offered in geography. Students in all concentrations of geography including cultural, economic, urban, historical geography, physical geography, and GIS/mapping sciences enroll in the M.S. degree program. A proposed and defended thesis is required for completion of the M.S. program. The master’s degree provides the student with a broad knowledge of the history, theory, content, and techniques of geography. Such knowledge may be obtained by enrollment in specific courses or through independent study, either at LSU or at some other institution. Half the courses must be at the 7000-level or above, excluding thesis hours.",120,
92,"Anthropology,","Anthropology, M.A.",M.A.,,"(AANTH) Anthropology offers programs leading to the B.A., M.A., and PhD degrees in four major divisions of the field—archaeology, biological, cultural, and linguistic anthropology. Area expertise includes Latin America, the U.S. South and Gulf Coast, the Caribbean, and Africa. A minimum of 31 hours is required for the master’s degree. Of those 31, at least 6 hours are thesis hours ( ANTH 8000   ) and 1 hour includes the completion of Introduction to Graduate Study ( ANTH 7901   ). The remaining 24 hours of coursework include: 3 required core courses ( ANTH 4020   ,  ANTH 4040   ,  ANTH 4060   ),   ANTH 7085 History of Anthropological Theory   , 3 additional 7000-level courses (excluding  ANTH 7085   ), and 1 elective course. At least 3 of the elective 7000-level courses must be ANTH seminars.",120,
93,,"French Studies, Ph.D.",Major,Required Courses,"{""Quantitative Research"": [""ELRC 4006"", ""SOCL 7201"", ""PSYC 7117""], ""Qualitative Research"": [""ANTH 4090"", ""ELRC 7243"", ""SOCL 7211""]}",120,
94,,"French Studies, Ph.D.",Major,Research Courses:,"{""Quantitative Research"": [""ELRC 4006"", ""SOCL 7201"", ""PSYC 7117""], ""Qualitative Research"": [""ANTH 4090"", ""ELRC 7243"", ""SOCL 7211""]}",120,
95,,"French Studies, Ph.D.",Major,Optional Courses:,"{""Language"": [""FREN 4015"", ""FREN 7300"", ""FREN 7915"", ""FREN 4100"", ""FREN 7962"", ""FREN 7980""], ""Society"": [""FREN 7962"", ""FREN 7980""]}",120,
96,Hispanic,"Hispanic Studies, M.A.",M.A.,,"(AHISP) The MA degree requires 36 hours of graduate coursework. If a student chooses the thesis option, 30 hours of coursework are required.",120,
97,Dual,Dual Degree: JD/MS in Finance,Finance,,"Master of Science (MS) in Finance (SFIN) with Juris Doctorate (JD) Click here to view the  Master of Science (MS) in Finance (SFIN) with Juris Doctorate (JD) . The JD/MS is a specialized course of study in which a student actively pursues both a Master of Science (MS) in Finance (SFIN) and a Juris Doctorate (JD) with the LSU Law Center. Admission into the program is contingent upon acceptance into both the regular MS program and the LSU Law Center. Curricular requirements for both graduate degrees are the same as their respective individual programs. The nature of the JD/MS program allows students to share several hours of coursework between the two programs.   Students interested are encouraged to visit the individual program site. LSU and the  Paul M. Hebert Law Center  offer several dual degree programs, allowing a student to earn both the JD/DCL and a master’s degree. Students enrolling in the dual degree programs must be admitted separately to the LSU Graduate School and the Law Center. Students should consult with the admissions office of each institution prior to enrollment. Each program has specific requirements, which can be found by visiting the website listed above. Students successfully completing the program listed above will receive two degrees, a JD/DCL awarded by LSU’s Paul M. Hebert Law Center and a master’s degree awarded by LSU. Students wishing to pursue dual degrees must complete and submit the “ Request for Dual Degree ” form.",120,
98,Financial,Financial Analytics Graduate Certificate,Certificate,,"The Graduate Certificate in Financial Analytics is a 12-credit hour stand-alone certificate with courses offered in the Department of Finance in the E.J. Ourso College of Business. Students must complete four courses offered in the area of Finance. The current courses offered include: FIN 7400 Financial Risk Management (3)       FIN 7708 Financial Analytics I (3)       FIN 7709 Financial Analytics II (3)       FIN 7740 Venture Capital and Investment Banking (3)     However, topics may change as new courses are added. Substitutions are permitted with the approval of the chair of the Department of Finance.",120,
99,Business,"Business Administration, PhD (Finance Concentration)",PhD,,"The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduate committees are satisfied.    The degree is a thesis degree requiring a thesis. Students must earn 54 hours of credit at the graduate level. The curricular requirements include: • At least 54 hours at the 7000 level or above  • A primary area consisting of a minimum of 18 hours of earned credit in Finance  • A minor area consisting of a minimum of 12 hours of Economics The student must pass a general exam, which may be written, oral, or both, and successfully defend his/her dissertation. Please refer to two websites for (1) additional details about the program ( https://www.lsu.edu/business/phdfinance ) and (2) the typical coursework completed during the four-year program ( https://www.lsu.edu/business/finance/academics/phd/curriculum.php ).",120,
100,Financial,"Financial Economics, M.S.",M.S.,,(MSFE) The departmental-level academic course plan for each student will be developed in consultation with and approved by the student’s graduate advisory committee. The committee will include the student’s major advisor and at least two additional members of the graduate faculty such that the LSU Graduate School’s requirements for graduation committee’s are satisfied. The degree is a non-thesis degree. Thirty-six hours of credit at the graduate level must be earned. The curricular requirements include: At least 18 hours at the 7000 level or above At least 18 hours of graduate-level finance courses   A minimum core requirement of eight courses for a total of twenty-two credit hours: FIN 4830 Financial Statement Analysis (3)       FIN 7708 Financial Analytics I (3)       FIN 7709 Financial Analytics II (3)       FIN 7719 Advanced Financial Management (3)       FIN 7826 Investment Analysis and Portfolio Theory (3)       ECON 7629 Applied Econometrics (3)       ECON 7701 Introduction to Advanced Microeconomics (3)       ECON 7717 Introduction to Advanced Macroeconomics (3),120,
